Names,Locations,Prices/Mon
3 otaqlı110 m²,28 May m.,2 000AZN/ay
2 otaqlı50 m²4/5 mərtəbə,İçəri Şəhər m.,550AZN/ay
90 m²,Binəqədi r.,1 300AZN/ay
3 otaqlı100 m²,Nəsimi r.,150AZN/ay
3 otaqlı130 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
3 otaqlı150 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
340 m²,28 May m.,3 300AZN/ay
2 otaqlı150 m²,İçəri Şəhər m.,1 200AZN/ay
3 otaqlı150 m²,İçəri Şəhər m.,1 200AZN/ay
2 otaqlı75 m²9/18 mərtəbə,20 Yanvar m.,500AZN/ay
3 otaqlı150 m²,İçəri Şəhər m.,1 200AZN/ay
4 otaqlı180 m²8/14 mərtəbə,28 May m.,1 500AZN/ay
3 otaqlı150 m²4/16 mərtəbə,Şah İsmayıl Xətai m.,1 150AZN/ay
2 otaqlı85 m²15/16 mərtəbə,Badamdar q.,800AZN/ay
2 otaqlı60 m²2/5 mərtəbə,28 May m.,500AZN/ay
3 otaqlı110 m²,Qəbələ,100AZN/gün
3 otaqlı80 m²2/5 mərtəbə,Sahil m.,1 000AZN/ay
3 otaqlı110 m²11/27 mərtəbə,Yasamal q.,1 000AZN/ay
5 otaqlı130 m²,28 May m.,700AZN/ay
5 otaqlı250 m²5/19 mərtəbə,Şah İsmayıl Xətai m.,2 500AZN/ay
5 otaqlı211 m²,Şah İsmayıl Xətai m.,3 200AZN/ay
2 otaqlı70 m²2/5 mərtəbə,Sahil m.,900AZN/ay
3 otaqlı180 m²9/10 mərtəbə,Nəsimi r.,150AZN/gün
2 otaqlı70 m²3/6 mərtəbə,İçəri Şəhər m.,1 300AZN/ay
3 otaqlı145 m²5/20 mərtəbə,Gənclik m.,800AZN/ay
2 otaqlı100 m²19/27 mərtəbə,Nəsimi r.,900AZN/ay
4 otaqlı190 m²3/19 mərtəbə,Nəsimi r.,1 500AZN/ay
3 otaqlı108 m²13/15 mərtəbə,Nəsimi r.,1 000AZN/ay
1500 m²,Yeni Yasamal q.,12 000AZN/ay
3 otaqlı140 m²2/14 mərtəbə,Gənclik m.,650AZN/ay
400 m²,Neftçilər m.,2 500AZN/ay
2 otaqlı100 m²,Biləcəri q.,300AZN/ay
3 otaqlı120 m²1/5 mərtəbə,Sahil m.,1 150AZN/ay
4 otaqlı135 m²18/22 mərtəbə,28 May m.,1 500AZN/ay
2 otaqlı60 m²8/14 mərtəbə,Səbail r.,800AZN/ay
2 otaqlı55 m²9/14 mərtəbə,Nəsimi m.,420AZN/ay
2 otaqlı70 m²8/18 mərtəbə,Qara Qarayev m.,650AZN/ay
3 otaqlı140 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
3 otaqlı95 m²7/14 mərtəbə,28 May m.,750AZN/ay
3 otaqlı160 m²,28 May m.,1 500AZN/ay
2 otaqlı80 m²4/4 mərtəbə,Sahil m.,650AZN/ay
3 otaqlı150 m²13/19 mərtəbə,Gənclik m.,890AZN/ay
4 otaqlı178 m²4/13 mərtəbə,Elmlər Akademiyası m.,1 000AZN/ay
1 otaqlı20 m²2/16 mərtəbə,Nəsimi r.,35AZN/gün
2 otaqlı60 m²14/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
1 otaqlı56 m²5/16 mərtəbə,Bakıxanov q.,350AZN/ay
3 otaqlı150 m²3/16 mərtəbə,Nizami m.,1 200AZN/ay
2 otaqlı75 m²8/14 mərtəbə,İçəri Şəhər m.,1 150AZN/ay
3 otaqlı110 m²11/27 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı90 m²3/18 mərtəbə,Həzi Aslanov m.,800AZN/ay
3 otaqlı140 m²13/17 mərtəbə,Binəqədi r.,650AZN/ay
3 otaqlı100 m²4/16 mərtəbə,Nəriman Nərimanov m.,850AZN/ay
80 m²,Sahil m.,2 000AZN/ay
3 otaqlı135 m²14/20 mərtəbə,Əhmədli m.,550AZN/ay
1 otaqlı30 m²,Elmlər Akademiyası m.,450AZN/ay
95 m²,Nəriman Nərimanov m.,1 000AZN/ay
2 otaqlı40 m²3/9 mərtəbə,9-cu mikrorayon q.,400AZN/ay
10 m²,İnşaatçılar m.,500AZN/ay
4 otaqlı205 m²15/18 mərtəbə,Nizami m.,1 400AZN/ay
3 otaqlı55 m²5/9 mərtəbə,Həzi Aslanov q.,280AZN/ay
3 otaqlı120 m²13/16 mərtəbə,Nərimanov r.,800AZN/ay
11 otaqlı410 m²,28 May m.,6 550AZN/ay
6 otaqlı220 m²,Nəsimi r.,2 300AZN/ay
3 otaqlı120 m²8/16 mərtəbə,Yasamal r.,900AZN/ay
2 otaqlı60 m²14/18 mərtəbə,20 Yanvar m.,500AZN/ay
4 otaqlı110 m²5/9 mərtəbə,8-ci mikrorayon q.,500AZN/ay
6 otaqlı250 m²,Qəbələ,150AZN/gün
120 m²,Həzi Aslanov q.,2 500AZN/ay
4 otaqlı135 m²17/22 mərtəbə,Nəsimi r.,1 500AZN/ay
3 otaqlı140 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
3 otaqlı200 m²12/19 mərtəbə,Elmlər Akademiyası m.,2 000AZN/ay
2 otaqlı65 m²3/6 mərtəbə,İçəri Şəhər m.,1 300AZN/ay
3 otaqlı120 m²6/18 mərtəbə,20 Yanvar m.,750AZN/ay
2 otaqlı80 m²4/4 mərtəbə,Sahil m.,800AZN/ay
5 otaqlı227 m²3/24 mərtəbə,Şah İsmayıl Xətai m.,2 200AZN/ay
3 otaqlı140 m²4/16 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
3 otaqlı90 m²3/5 mərtəbə,Elmlər Akademiyası m.,600AZN/ay
3 otaqlı130 m²14/21 mərtəbə,Xətai r.,1 450AZN/ay
3 otaqlı85 m²7/17 mərtəbə,Nəsimi r.,750AZN/ay
3 otaqlı150 m²5/16 mərtəbə,Elmlər Akademiyası m.,1 000AZN/ay
3 otaqlı140 m²2/7 mərtəbə,Şah İsmayıl Xətai m.,700AZN/ay
2 otaqlı120 m²7/18 mərtəbə,Şah İsmayıl Xətai m.,999AZN/ay
3 otaqlı120 m²10/18 mərtəbə,Şah İsmayıl Xətai m.,60AZN/gün
3 otaqlı120 m²12/16 mərtəbə,Elmlər Akademiyası m.,650AZN/ay
2 otaqlı110 m²6/17 mərtəbə,28 May m.,900AZN/ay
42 m²,Nizami m.,1 600AZN/ay
2 otaqlı91 m²3/19 mərtəbə,Nəriman Nərimanov m.,599AZN/ay
6 otaqlı550 m²5/24 mərtəbə,Şah İsmayıl Xətai m.,4 500AZN/ay
3 otaqlı80 m²8/13 mərtəbə,Bakıxanov q.,600AZN/ay
3 otaqlı140 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
3 otaqlı145 m²2/18 mərtəbə,Nərimanov r.,1 100AZN/ay
3 otaqlı80 m²3/5 mərtəbə,Əhmədli m.,450AZN/ay
2 otaqlı50 m²4/5 mərtəbə,Azadlıq Prospekti m.,380AZN/ay
2 otaqlı70 m²7/12 mərtəbə,Yasamal q.,500AZN/ay
3 otaqlı150 m²6/13 mərtəbə,Nəsimi r.,1 300AZN/ay
3 otaqlı150 m²11/14 mərtəbə,Nəsimi r.,800AZN/ay
3 otaqlı100 m²9/20 mərtəbə,20 Yanvar m.,650AZN/ay
2 otaqlı65 m²4/19 mərtəbə,İnşaatçılar m.,35AZN/gün
3 otaqlı70 m²3/5 mərtəbə,Nəsimi r.,500AZN/ay
3 otaqlı150 m²,İçəri Şəhər m.,1 200AZN/ay
3 otaqlı115 m²1/12 mərtəbə,20 Yanvar m.,650AZN/ay
2 otaqlı78 m²15/18 mərtəbə,Şah İsmayıl Xətai m.,1 280AZN/ay
4 otaqlı200 m²17/20 mərtəbə,28 May m.,1 500AZN/ay
2 otaqlı95 m²4/16 mərtəbə,Nəsimi r.,800AZN/ay
3 otaqlı80 m²2/3 mərtəbə,Sahil m.,1 000AZN/ay
3 otaqlı120 m²7/18 mərtəbə,İnşaatçılar m.,800AZN/ay
3 otaqlı120 m²16/17 mərtəbə,Yasamal q.,700AZN/ay
2 otaqlı50 m²,İçəri Şəhər m.,1 000AZN/ay
21 m²,Gənclik m.,250AZN/ay
4 otaqlı90 m²6/6 mərtəbə,Sahil m.,1 200AZN/ay
229 m²,Xətai r.,2 000AZN/ay
3 otaqlı130 m²2/16 mərtəbə,Elmlər Akademiyası m.,1 000AZN/ay
3 otaqlı60 m²2/5 mərtəbə,Sahil m.,1 200AZN/ay
323 m²,Xətai r.,3 500AZN/ay
2 otaqlı80 m²3/3 mərtəbə,Səbail r.,1 000AZN/ay
3 otaqlı195 m²2/9 mərtəbə,Elmlər Akademiyası m.,1 000AZN/ay
3 otaqlı150 m²4/8 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
2 otaqlı65 m²3/6 mərtəbə,İçəri Şəhər m.,1 300AZN/ay
4 otaqlı120 m²,Nəriman Nərimanov m.,800AZN/ay
3 otaqlı80 m²8/13 mərtəbə,Bakıxanov q.,600AZN/ay
3 otaqlı200 m²8/32 mərtəbə,Şah İsmayıl Xətai m.,1 700AZN/ay
2 otaqlı80 m²8/14 mərtəbə,İçəri Şəhər m.,1 100AZN/ay
1400 m²,Səbail r.,8 000AZN/ay
3 otaqlı85 m²2/5 mərtəbə,İçəri Şəhər m.,1 300AZN/ay
3 otaqlı90 m²8/13 mərtəbə,Suraxanı r.,600AZN/ay
3 otaqlı75 m²13/17 mərtəbə,Qara Qarayev m.,600AZN/ay
3 otaqlı70 m²2/5 mərtəbə,28 May m.,900AZN/ay
850 m²,28 May m.,12 000AZN/ay
1 otaqlı40 m²1/3 mərtəbə,Səbail r.,450AZN/ay
4 otaqlı160 m²2/18 mərtəbə,Xətai r.,800AZN/ay
2 otaqlı91 m²12/18 mərtəbə,Nəriman Nərimanov m.,550AZN/ay
2 otaqlı140 m²1/5 mərtəbə,İçəri Şəhər m.,1 200AZN/ay
2 otaqlı132 m²2/17 mərtəbə,Nəriman Nərimanov m.,1 500AZN/ay
3 otaqlı73 m²13/17 mərtəbə,Qara Qarayev m.,600AZN/ay
2 otaqlı60 m²5/9 mərtəbə,Memar Əcəmi m.,450AZN/ay
3 otaqlı120 m²18/18 mərtəbə,Nəriman Nərimanov m.,699AZN/ay
130 m²,28 May m.,1 600AZN/ay
445 m²,28 May m.,7 000AZN/ay
150 m²,Əhmədli m.,5 500AZN/ay
2 otaqlı55 m²1/5 mərtəbə,Memar Əcəmi m.,400AZN/ay
4 otaqlı245 m²8/18 mərtəbə,Sahil m.,4 000AZN/ay
2 otaqlı70 m²5/5 mərtəbə,Sahil m.,1 000AZN/ay
3 otaqlı101 m²15/27 mərtəbə,Nəsimi r.,900AZN/ay
3 otaqlı130 m²6/16 mərtəbə,Nəsimi r.,1 290AZN/ay
3 otaqlı140 m²10/16 mərtəbə,Nərimanov r.,1 200AZN/ay
3 otaqlı140 m²7/17 mərtəbə,Nəsimi r.,1 000AZN/ay
134 m²,Nəsimi r.,3 000AZN/ay
3 otaqlı160 m²,Şah İsmayıl Xətai m.,2 500AZN/ay
3 otaqlı105 m²5/17 mərtəbə,8 Noyabr m.,1 000AZN/ay
3 otaqlı105 m²6/17 mərtəbə,İnşaatçılar m.,900AZN/ay
3 otaqlı100 m²9/11 mərtəbə,Badamdar q.,650AZN/ay
2 otaqlı100 m²2/5 mərtəbə,Sahil m.,900AZN/ay
3 otaqlı150 m²19/20 mərtəbə,Şah İsmayıl Xətai m.,2 500AZN/ay
10 otaqlı600 m²,Şah İsmayıl Xətai m.,7 500AZN/ay
2 otaqlı50 m²2/2 mərtəbə,İçəri Şəhər m.,600AZN/ay
250 m²,Abşeron r.,150AZN/gün
2 otaqlı105 m²12/16 mərtəbə,Yasamal r.,800AZN/ay
2 otaqlı100 m²14/18 mərtəbə,Nərimanov r.,600AZN/ay
3 otaqlı85 m²9/16 mərtəbə,Nərimanov r.,800AZN/ay
2 otaqlı70 m²4/5 mərtəbə,Nərimanov r.,550AZN/ay
3 otaqlı120 m²7/18 mərtəbə,Memar Əcəmi m.,650AZN/ay
120 m²,Yasamal r.,2 000AZN/ay
13 otaqlı800 m²,Badamdar q.,5 300AZN/ay
2 otaqlı67 m²5/16 mərtəbə,Xalqlar Dostluğu m.,450AZN/ay
2 otaqlı55 m²8/9 mərtəbə,Nəsimi r.,600AZN/ay
3 otaqlı110 m²17/21 mərtəbə,Nəsimi r.,800AZN/ay
50 m²,Nəriman Nərimanov m.,1 400AZN/ay
2 otaqlı65 m²17/18 mərtəbə,8 Noyabr m.,600AZN/ay
300 m²,Əhmədli m.,6 000AZN/ay
2 otaqlı130 m²2/18 mərtəbə,Nərimanov r.,1 500AZN/ay
2 otaqlı50 m²2/7 mərtəbə,İçəri Şəhər m.,690AZN/ay
150 m²,İçəri Şəhər m.,1 200AZN/ay
3 otaqlı120 m²7/17 mərtəbə,İçəri Şəhər m.,1 400AZN/ay
2 otaqlı65 m²12/18 mərtəbə,Memar Əcəmi m.,500AZN/ay
110 m²,Buzovna q.,150AZN/gün
4 otaqlı150 m²9/24 mərtəbə,28 May m.,1 200AZN/ay
750 m²,Hövsan q.,2 250AZN/ay
3 otaqlı105 m²4/16 mərtəbə,28 May m.,650AZN/ay
3 otaqlı100 m²11/27 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı140 m²11/18 mərtəbə,Nizami r.,800AZN/ay
1 otaqlı60 m²1/3 mərtəbə,Sahil m.,450AZN/ay
4 otaqlı142 m²,Nərimanov r.,1 000AZN/ay
2 otaqlı100 m²8/14 mərtəbə,İçəri Şəhər m.,1 000AZN/ay
2 otaqlı60 m²15/16 mərtəbə,Xalqlar Dostluğu m.,450AZN/ay
2 otaqlı35 m²,Sabunçu q.,180AZN/ay
3 otaqlı140 m²13/17 mərtəbə,7-ci mikrorayon q.,610AZN/ay
1500 m²,Yeni Günəşli q.,3 500AZN/ay
1 otaqlı40 m²4/5 mərtəbə,Elmlər Akademiyası m.,350AZN/ay
2 otaqlı80 m²17/20 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
2 otaqlı72 m²8/10 mərtəbə,Sahil m.,800AZN/ay
3 otaqlı140 m²13/17 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
2 otaqlı63 m²5/14 mərtəbə,Nərimanov r.,650AZN/ay
2 otaqlı80 m²6/22 mərtəbə,Səbail r.,2 550AZN/ay
2 otaqlı80 m²11/16 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
3 otaqlı100 m²4/4 mərtəbə,Nəsimi r.,780AZN/ay
100 m²,Nəriman Nərimanov m.,1 200AZN/ay
3 otaqlı70 m²4/5 mərtəbə,Sahil m.,800AZN/ay
3 otaqlı60 m²2/5 mərtəbə,Nərimanov r.,600AZN/ay
445 m²,Elmlər Akademiyası m.,7 500AZN/ay
3 otaqlı177 m²4/16 mərtəbə,Nəsimi r.,3 400AZN/ay
42 m²,Nizami r.,800AZN/ay
2 otaqlı85 m²12/18 mərtəbə,Nərimanov r.,550AZN/ay
3 otaqlı120 m²4/16 mərtəbə,Nəsimi r.,750AZN/ay
15 otaqlı1000 m²,Badamdar q.,15AZN/ay
2 otaqlı55 m²,Nəsimi r.,750AZN/ay
55 m²,Sahil m.,2 500AZN/ay
2700 m²,Xalqlar Dostluğu m.,15 000AZN/ay
3 otaqlı140 m²13/17 mərtəbə,Nərimanov r.,650AZN/ay
3 otaqlı150 m²,İçəri Şəhər m.,1 200AZN/ay
30 m²,Şah İsmayıl Xətai m.,800AZN/ay
178 m²,Yasamal r.,3 000AZN/ay
3 otaqlı80 m²9/16 mərtəbə,28 May m.,850AZN/ay
3 otaqlı80 m²8/13 mərtəbə,Bakıxanov q.,600AZN/ay
1 otaqlı35 m²4/5 mərtəbə,Nəsimi r.,400AZN/ay
2 otaqlı62 m²4/5 mərtəbə,Nəsimi r.,500AZN/ay
2 otaqlı130 m²9/20 mərtəbə,Nizami m.,1 800AZN/ay
3 otaqlı160 m²9/16 mərtəbə,Nəsimi r.,900AZN/ay
130 m²,Əhmədli m.,12 000AZN/ay
3 otaqlı196 m²17/19 mərtəbə,Nəsimi r.,1 300AZN/ay
3 otaqlı133 m²12/21 mərtəbə,28 May m.,1 500AZN/ay
3 otaqlı90 m²5/7 mərtəbə,28 May m.,900AZN/ay
2 otaqlı90 m²10/16 mərtəbə,Şah İsmayıl Xətai m.,700AZN/ay
80 m²,Yeni Yasamal q.,800AZN/ay
3 otaqlı70 m²3/3 mərtəbə,İçəri Şəhər m.,650AZN/ay
3 otaqlı165 m²14/18 mərtəbə,Nəsimi r.,1 600AZN/ay
3 otaqlı120 m²4/16 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
3 otaqlı120 m²17/19 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
180 m²,Memar Əcəmi m.,2 500AZN/ay
2 otaqlı50 m²2/5 mərtəbə,Gənclik m.,400AZN/ay
4 otaqlı160 m²2/3 mərtəbə,Nərimanov r.,950AZN/ay
5 otaqlı220 m²8/8 mərtəbə,Nəsimi r.,1 400AZN/ay
2 otaqlı150 m²,Səbail r.,1 200AZN/ay
2 otaqlı63 m²4/4 mərtəbə,Gənclik m.,430AZN/ay
2 otaqlı70 m²14/17 mərtəbə,Nəsimi r.,800AZN/ay
3 otaqlı143 m²11/16 mərtəbə,Nəsimi r.,700AZN/ay
3 otaqlı120 m²16/17 mərtəbə,İnşaatçılar m.,700AZN/ay
180 m²,Memar Əcəmi m.,2 500AZN/ay
2 otaqlı150 m²,İçəri Şəhər m.,1 200AZN/ay
5 otaqlı192 m²,28 May m.,2 500AZN/ay
2 otaqlı85 m²7/16 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
3 otaqlı100 m²2/10 mərtəbə,Yasamal r.,650AZN/ay
3 otaqlı160 m²4/16 mərtəbə,Şah İsmayıl Xətai m.,1 400AZN/ay
2 otaqlı20 m²1/3 mərtəbə,28 May m.,250AZN/ay
5 otaqlı153 m²,İçəri Şəhər m.,2 000AZN/ay
10 otaqlı300 m²,İçəri Şəhər m.,4 000AZN/ay
8 otaqlı700 m²,Nərimanov r.,3 500AZN/ay
2 otaqlı60 m²6/16 mərtəbə,Nəsimi r.,700AZN/ay
4 otaqlı120 m²3/4 mərtəbə,İçəri Şəhər m.,1 000AZN/ay
2 otaqlı50 m²4/5 mərtəbə,Memar Əcəmi m.,400AZN/ay
1000 m²,Qaradağ r.,4 000AZN/ay
4 otaqlı120 m²4/5 mərtəbə,28 May m.,800AZN/ay
4000 m²,Biləcəri q.,17 000AZN/ay
1 otaqlı35 m²3/16 mərtəbə,Şah İsmayıl Xətai m.,580AZN/ay
50 m²,Neftçilər m.,350AZN/ay
2 otaqlı55 m²6/9 mərtəbə,Əhmədli q.,400AZN/ay
2 otaqlı60 m²2/9 mərtəbə,Həzi Aslanov q.,350AZN/ay
3 otaqlı140 m²13/17 mərtəbə,Binəqədi r.,650AZN/ay
3 otaqlı80 m²3/5 mərtəbə,Əhmədli m.,450AZN/ay
3 otaqlı135 m²7/19 mərtəbə,Nəsimi r.,1 300AZN/ay
2 otaqlı74.8 m²3/5 mərtəbə,Səbail r.,600AZN/ay
1 otaqlı16 m²,Nizami m.,350AZN/ay
1 otaqlı45 m²3/3 mərtəbə,28 May m.,20AZN/gün
4 otaqlı200 m²,Qəbələ,179AZN/gün
40 m²,Həzi Aslanov m.,1 300AZN/ay
1 otaqlı33 m²5/5 mərtəbə,Memar Əcəmi m.,330AZN/ay
3 otaqlı120 m²15/17 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
2 otaqlı120 m²12/21 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
50 m²,Nərimanov r.,1 400AZN/ay
3 otaqlı240 m²3/3 mərtəbə,Sahil m.,100AZN/gün
3 otaqlı200 m²11/18 mərtəbə,Elmlər Akademiyası m.,1 800AZN/ay
4 otaqlı150 m²9/20 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
2 otaqlı90 m²8/21 mərtəbə,Şah İsmayıl Xətai m.,1 300AZN/ay
3 otaqlı110 m²,Qəbələ,50AZN/gün
9 otaqlı336.7 m²,Badamdar q.,5 000AZN/ay
3 otaqlı130 m²15/18 mərtəbə,Yasamal r.,700AZN/ay
700 m²,Xırdalan,6 000AZN/ay
1 otaqlı38 m²,Gənclik m.,250AZN/ay
33 m²,Şirvan,280AZN/ay
4 otaqlı140 m²4/18 mərtəbə,İnşaatçılar m.,850AZN/ay
4 otaqlı150 m²16/20 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
3 otaqlı130 m²17/18 mərtəbə,Elmlər Akademiyası m.,700AZN/ay
2 otaqlı95 m²16/17 mərtəbə,Şah İsmayıl Xətai m.,650AZN/ay
7 otaqlı210 m²,Sabunçu q.,630AZN/ay
1 otaqlı40 m²8/9 mərtəbə,Bakıxanov q.,250AZN/ay
3 otaqlı60 m²5/5 mərtəbə,Bayıl q.,1 200AZN/ay
2 otaqlı95 m²,Nəriman Nərimanov m.,1 200AZN/ay
200 m²,Buzovna q.,350AZN/ay
3 otaqlı110 m²,Sahil m.,1 500AZN/ay
3 otaqlı170 m²10/18 mərtəbə,Nəsimi r.,800AZN/ay
5 otaqlı550 m²,Həzi Aslanov m.,2 000AZN/ay
72 m²,Yeni Günəşli q.,700AZN/ay
2 otaqlı80 m²8/16 mərtəbə,Nəriman Nərimanov m.,900AZN/ay
2 otaqlı80 m²6/12 mərtəbə,Nəsimi r.,650AZN/ay
2 otaqlı50 m²4/5 mərtəbə,Nəriman Nərimanov m.,500AZN/ay
4 otaqlı130 m²2/4 mərtəbə,Sahil m.,1 700AZN/ay
2 otaqlı85 m²12/19 mərtəbə,Binəqədi q.,500AZN/ay
4 otaqlı180 m²,Şah İsmayıl Xətai m.,2 700AZN/ay
3 otaqlı160 m²15/20 mərtəbə,Nəsimi r.,1 250AZN/ay
960 m²,8-ci kilometr q.,4 500AZN/ay
3 otaqlı83 m²8/20 mərtəbə,Yeni Yasamal q.,500AZN/ay
3 otaqlı150 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
3 otaqlı102 m²4/16 mərtəbə,28 May m.,750AZN/ay
100 m²,Nərimanov r.,1 180AZN/ay
3 otaqlı105 m²4/16 mərtəbə,28 May m.,750AZN/ay
2 otaqlı115 m²12/21 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
3 otaqlı100 m²2/5 mərtəbə,Nərimanov r.,671AZN/ay
2 otaqlı114 m²10/18 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı115 m²,Sahil m.,1 250AZN/ay
2 otaqlı60 m²1/4 mərtəbə,Yasamal r.,470AZN/ay
3 otaqlı140 m²6/30 mərtəbə,Sahil m.,2 000AZN/ay
1 otaqlı35 m²,Yasamal r.,950AZN/ay
200 sot,Qaradağ r.,17 000AZN/ay
3 otaqlı90 m²2/5 mərtəbə,Elmlər Akademiyası m.,550AZN/ay
80 m²,Yeni Yasamal q.,800AZN/ay
2 otaqlı85 m²12/16 mərtəbə,M.Ə.Rəsulzadə q.,500AZN/ay
11 otaqlı800 m²,Gənclik m.,8 000AZN/ay
3 otaqlı136 m²11/15 mərtəbə,Nizami m.,1 700AZN/ay
4 otaqlı100 m²6/12 mərtəbə,Yeni Yasamal q.,120AZN/ay
140 m²,İnşaatçılar m.,2 000AZN/ay
4 otaqlı190 m²15/18 mərtəbə,Şah İsmayıl Xətai m.,1 499AZN/ay
50 m²,8-ci mikrorayon q.,600AZN/ay
54 m²,Nəsimi r.,1 500AZN/ay
2 otaqlı57 m²12/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
200 m²,Əhmədli m.,3 000AZN/ay
3 otaqlı100 m²9/12 mərtəbə,Badamdar q.,650AZN/ay
3 otaqlı150 m²19/20 mərtəbə,Şah İsmayıl Xətai m.,2 500AZN/ay
500 m²,Bakıxanov q.,2 000AZN/ay
3 otaqlı70 m²12/14 mərtəbə,Nəsimi r.,1 000AZN/ay
170 m²,Gənclik m.,2 000AZN/ay
2 otaqlı55 m²7/8 mərtəbə,İçəri Şəhər m.,550AZN/ay
30 m²,Elmlər Akademiyası m.,430AZN/ay
220 m²,Nəriman Nərimanov m.,3 000AZN/ay
3 otaqlı102 m²4/16 mərtəbə,Nəsimi r.,750AZN/ay
4 otaqlı170 m²,Memar Əcəmi m.,1 300AZN/ay
3 otaqlı176 m²10/16 mərtəbə,Nəsimi r.,850AZN/ay
20 m²,Köhnə Günəşli q.,280AZN/ay
3 otaqlı120 m²2/10 mərtəbə,Yeni Yasamal q.,600AZN/ay
3 otaqlı136 m²11/15 mərtəbə,Nizami m.,1 700AZN/ay
3 otaqlı96 m²2/10 mərtəbə,Yeni Yasamal q.,600AZN/ay
3 otaqlı145 m²12/17 mərtəbə,8 Noyabr m.,800AZN/ay
3 otaqlı171 m²11/14 mərtəbə,Yasamal r.,900AZN/ay
2 otaqlı40 m²1/5 mərtəbə,Memar Əcəmi m.,400AZN/ay
5 otaqlı242 m²14/17 mərtəbə,Elmlər Akademiyası m.,1 800AZN/ay
2 otaqlı45 m²,28 May m.,900AZN/ay
3 otaqlı140 m²5/16 mərtəbə,Gənclik m.,1 000AZN/ay
2 otaqlı100 m²5/18 mərtəbə,Nəsimi r.,1 100AZN/ay
2 otaqlı85 m²3/15 mərtəbə,Binəqədi r.,500AZN/ay
35 m²,Nizami m.,350AZN/ay
2 otaqlı105 m²8/16 mərtəbə,28 May m.,1 000AZN/ay
3 otaqlı150 m²6/17 mərtəbə,28 May m.,1 250AZN/ay
3 otaqlı130 m²4/8 mərtəbə,Nərimanov r.,800AZN/ay
2 otaqlı80 m²6/16 mərtəbə,İnşaatçılar m.,750AZN/ay
3 otaqlı86 m²9/19 mərtəbə,Nizami m.,700AZN/ay
700 m²,Əhmədli m.,15 000AZN/ay
4 otaqlı175 m²7/33 mərtəbə,Nəsimi r.,4 000AZN/ay
3 otaqlı105 m²5/6 mərtəbə,Xətai r.,1 600AZN/ay
2 otaqlı80 m²10/12 mərtəbə,Nizami m.,650AZN/ay
4 otaqlı171 m²4/16 mərtəbə,Nərimanov r.,1 000AZN/ay
2 otaqlı50 m²2/5 mərtəbə,Səbail r.,550AZN/ay
3 otaqlı120 m²,Qəbələ,150AZN/gün
2 otaqlı70 m²7/18 mərtəbə,8-ci kilometr q.,450AZN/ay
3 otaqlı130 m²,Nəsimi r.,2 600AZN/ay
300 m²,Mərdəkan q.,200AZN/gün
95 m²,Nərimanov r.,1 200AZN/ay
3 otaqlı135 m²13/17 mərtəbə,Nərimanov r.,650AZN/ay
3 otaqlı142 m²14/17 mərtəbə,Gənclik m.,1 200AZN/ay
120 m²,Nəsimi r.,3 000AZN/ay
3 otaqlı140 m²5/7 mərtəbə,Nərimanov r.,650AZN/ay
2 otaqlı60 m²9/19 mərtəbə,20 Yanvar m.,500AZN/ay
2 otaqlı60 m²7/15 mərtəbə,Nəsimi r.,700AZN/ay
4 otaqlı145 m²,Quba,40AZN/gün
3 otaqlı160 m²14/17 mərtəbə,Yasamal r.,1 500AZN/ay
3 otaqlı90 m²1/3 mərtəbə,Nəsimi r.,550AZN/ay
2 otaqlı110 m²7/16 mərtəbə,Elmlər Akademiyası m.,700AZN/ay
3 otaqlı160 m²4/16 mərtəbə,Şah İsmayıl Xətai m.,1 400AZN/ay
2 otaqlı60 m²4/5 mərtəbə,Şah İsmayıl Xətai m.,450AZN/ay
2 otaqlı95 m²5/10 mərtəbə,Yasamal r.,700AZN/ay
3 otaqlı135 m²8/20 mərtəbə,Şah İsmayıl Xətai m.,1 300AZN/ay
