Names,Locations,Prices/Mon
3 otaqlı80 m²14/16 mərtəbə,İnşaatçılar m.,600AZN/ay
20 m²,Xırdalan,200AZN/ay
2 otaqlı95 m²13/16 mərtəbə,7-ci mikrorayon q.,600AZN/ay
2 otaqlı115 m²,Nizami m.,1 250AZN/ay
2 otaqlı90 m²18/21 mərtəbə,Nəriman Nərimanov m.,750AZN/ay
2 otaqlı103 m²17/27 mərtəbə,Nəsimi r.,1 200AZN/ay
3 otaqlı170 m²7/18 mərtəbə,Şah İsmayıl Xətai m.,1 300AZN/ay
11 otaqlı320 m²,İçəri Şəhər m.,3 000AZN/ay
3 otaqlı140 m²,Şah İsmayıl Xətai m.,1 000AZN/ay
700 m²,Bayıl q.,1 500AZN/ay
3 otaqlı110 m²2/3 mərtəbə,İçəri Şəhər m.,850AZN/ay
7 otaqlı150 m²,Nizami m.,1 350AZN/ay
2 otaqlı92 m²8/18 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
337 m²,Həzi Aslanov q.,2 000AZN/ay
120 m²,Elmlər Akademiyası m.,6 000AZN/ay
500 m²,Elmlər Akademiyası m.,8 000AZN/ay
2 otaqlı55 m²3/3 mərtəbə,28 May m.,500AZN/ay
2 otaqlı80 m²4/16 mərtəbə,Yasamal r.,700AZN/ay
2 otaqlı55 m²3/3 mərtəbə,Nəsimi r.,500AZN/ay
3 otaqlı140 m²12/19 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
1 otaqlı45 m²4/16 mərtəbə,Binəqədi r.,420AZN/ay
5 otaqlı150 m²,28 May m.,3 000AZN/ay
2 otaqlı95 m²5/19 mərtəbə,Nəsimi r.,40AZN/gün
800 m²,Novxanı q.,4 500AZN/ay
3 otaqlı145 m²7/16 mərtəbə,Nəsimi r.,650AZN/ay
1 otaqlı45 m²7/9 mərtəbə,Yeni Yasamal q.,330AZN/ay
50 m²,Gənclik m.,2 000AZN/ay
70 m²,28 May m.,2 000AZN/ay
3 otaqlı150 m²,Qusar,70AZN/gün
2 otaqlı60 m²13/16 mərtəbə,Binəqədi r.,500AZN/ay
2 otaqlı68 m²7/17 mərtəbə,Azadlıq Prospekti m.,400AZN/ay
5 otaqlı210 m²,Sahil m.,1 600AZN/ay
